date,bank name,state,zip code,message
07/29/2013,######,VA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Call customer at [PHONE_NUMBER]. libero et lorem
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet . Reach customer at [EMAIL_ADDRESS]. consectetur adipiscing elit. Suspendisse
07/29/2013,######,GA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CT,####,Lorem ipsum dolor sit amet . Reach customer at [EMAIL_ADDRESS]. consectetur adipiscing elit. Suspendisse sagittis
07/29/2013,######,TX,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,VA,#####,Lorem . Reach customer at [EMAIL_ADDRESS]. ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,OH,#####,Lorem ipsum dolor sit amet consectetur . Call customer at [PHONE_NUMBER]. adipiscing elit. Suspendisse sagittis
07/29/2013,######,NV,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NC,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. . Call customer at [PHONE_NUMBER]. Suspendisse sagittis libero et lorem cursus
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem . Reach customer at [EMAIL_ADDRESS]. cursus
07/29/2013,######,PA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,PA,#####,Lorem ipsum dolor sit amet consectetur adipiscing . Reach customer at [EMAIL_ADDRESS]. elit.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit . Call customer at [PHONE_NUMBER]. amet consectetur adipiscing elit.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Reach customer at [EMAIL_ADDRESS].
07/29/2013,######,WA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit . Call customer at [PHONE_NUMBER]. amet consectetur adipiscing
07/29/2013,######,HI,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Call customer at [PHONE_NUMBER].
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Reach customer at [EMAIL_ADDRESS].
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,IL,#####,Lorem ipsum dolor sit . Call customer at [PHONE_NUMBER]. amet consectetur adipiscing elit.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et . Reach customer at [EMAIL_ADDRESS]. lorem cursus
07/29/2013,######,OH,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et . Call customer at [PHONE_NUMBER]. lorem cursus
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Reach customer at [EMAIL_ADDRESS].
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit . Call customer at [PHONE_NUMBER]. amet consectetur adipiscing elit.
07/29/2013,######,MI,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero . Reach customer at [EMAIL_ADDRESS]. et lorem
07/29/2013,######,TX,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,GA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Call customer at [PHONE_NUMBER]. libero
07/29/2013,######,TX,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,MA,####,Lorem ipsum dolor sit amet consectetur adipiscing . Call customer at [PHONE_NUMBER]. elit.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Reach customer at [EMAIL_ADDRESS]. libero et lorem
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,KY,#####,Lorem ipsum . Reach customer at [EMAIL_ADDRESS].
07/29/2013,######,TN,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur . Call customer at [PHONE_NUMBER].
07/29/2013,######,GA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,MO,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse . Reach customer at [EMAIL_ADDRESS]. sagittis libero
07/29/2013,######,MN,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Reach customer at [EMAIL_ADDRESS]. libero
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,TN,#####,Lorem ipsum dolor sit amet consectetur . Call customer at [PHONE_NUMBER]. adipiscing elit. Suspendisse sagittis
07/29/2013,######,MA,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. . Call customer at [PHONE_NUMBER]. Suspendisse sagittis libero et lorem
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,WI,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Reach customer at [EMAIL_ADDRESS]. libero et lorem cursus
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur . Reach customer at [EMAIL_ADDRESS]. adipiscing elit. Suspendisse
07/29/2013,######,WY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,TX,#####,Lorem ipsum dolor sit amet consectetur adipiscing . Reach customer at [EMAIL_ADDRESS]. elit. Suspendisse
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,VA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse . Reach customer at [EMAIL_ADDRESS]. sagittis libero et lorem
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CT,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero . Reach customer at [EMAIL_ADDRESS].
07/29/2013,######,CT,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,VT,####,Lorem . Call customer at [PHONE_NUMBER]. ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem
07/30/2013,######,MI,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing . Reach customer at [EMAIL_ADDRESS]. elit. Suspendisse sagittis
07/30/2013,######,NV,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse . Reach customer at [EMAIL_ADDRESS]. sagittis libero et lorem cursus
07/29/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CO,#####,Lorem ipsum dolor sit amet . Reach customer at [EMAIL_ADDRESS]. consectetur adipiscing elit.
07/30/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem . Call customer at [PHONE_NUMBER].
07/30/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,TX,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem . Call customer at [PHONE_NUMBER].
07/31/2013,######,GA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,MI,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et . Call customer at [PHONE_NUMBER]. lorem cursus
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et . Call customer at [PHONE_NUMBER]. lorem cursus
07/29/2013,######,AZ,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero . Call customer at [PHONE_NUMBER]. et lorem
07/29/2013,######,MA,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,DE,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem . Reach customer at [EMAIL_ADDRESS]. cursus
07/31/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/29/2013,######,OH,#####,Lorem ipsum dolor . Call customer at [PHONE_NUMBER]. sit amet consectetur adipiscing
07/29/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur . Call customer at [PHONE_NUMBER]. adipiscing elit. Suspendisse sagittis libero et
07/29/2013,######,IN,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,CO,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et . Reach customer at [EMAIL_ADDRESS]. lorem cursus
07/31/2013,######,NJ,####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur . Call customer at [PHONE_NUMBER]. adipiscing elit. Suspendisse sagittis libero et lorem
07/31/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,NY,#####,Lorem ipsum dolor sit amet . Reach customer at [EMAIL_ADDRESS]. consectetur adipiscing
07/31/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,CA,#####,Lorem . Call customer at [PHONE_NUMBER]. ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero
07/30/2013,######,IL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis . Call customer at [PHONE_NUMBER]. libero et
07/30/2013,######,TN,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/31/2013,######,DE,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Call customer at [PHONE_NUMBER].
07/30/2013,######,CA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,CO,#####,Lorem ipsum dolor sit amet . Reach customer at [EMAIL_ADDRESS].
07/30/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,FL,#####,Lorem ipsum dolor sit amet consectetur . Reach customer at [EMAIL_ADDRESS]. adipiscing elit. Suspendisse sagittis libero
07/30/2013,######,NY,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,SC,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus . Reach customer at [EMAIL_ADDRESS].
07/31/2013,######,GA,#####,Lorem ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et lorem cursus fermentum.
07/30/2013,######,CA,#####,Lorem . Call customer at [PHONE_NUMBER]. ipsum dolor sit amet consectetur adipiscing elit. Suspendisse sagittis libero et
